ID,Age,BMI,Workout_Freq,Avg_Steps,Monthly_Spend,Stress_Level,Sleep_Hours,Diet_Quality
1,58,25.2,6,6638,60,3,7.9,5
2,48,34.1,3,11941,97,5,6.6,5
3,34,22.6,6,6427,198,3,7.7,1
4,27,25.9,6,7780,149,8,5.1,5
5,40,26.8,0,4927,178,8,6.7,2
6,58,22.8,3,5356,219,8,6.6,7
7,38,20.2,4,7790,182,9,5.9,3
8,42,27.1,5,3306,250,4,6.8,4
9,30,33.3,0,10979,174,5,8,3
10,30,27.6,4,6665,67,5,5.8,3
11,43,26.4,1,10057,90,8,7.5,4
12,55,26.3,0,3661,225,7,5.4,5
13,59,25,4,7644,44,9,8.6,1
14,43,30.7,1,11503,44,8,7.3,4
15,22,24,3,5920,133,2,8.2,8
16,41,20.6,5,11946,135,4,7.2,7
17,21,19.7,1,9236,47,6,6.9,9
18,43,26.3,6,9078,103,2,7.3,5
19,49,30.2,2,3352,177,7,6.4,4
20,57,26.9,1,10005,77,3,4.9,8
21,21,24.7,1,3158,150,3,6.9,9
22,40,27.8,5,3956,151,2,5.7,7
23,52,26.7,2,5071,259,8,5.4,7
24,31,29.3,6,11595,120,6,7.1,5
25,41,31.3,4,6453,175,1,6.2,4
26,44,22.2,4,9675,143,1,7.5,1
27,46,16.6,1,3955,192,7,5.7,7
28,47,24.6,2,9295,112,8,6,1
29,35,21.9,2,4712,233,5,7.7,1
30,34,29.3,6,7703,246,5,6.8,5
31,22,23.1,5,9563,217,4,5,9
32,56,18.5,3,8631,234,6,6.8,6
33,26,23.7,4,4394,88,6,8,3
34,40,20,5,7732,75,3,6,3
35,28,32.4,0,6714,165,9,7.1,7
36,58,27.9,4,3529,107,7,5.7,6
37,37,28.6,5,5958,117,1,6.4,9
38,23,28.1,4,10904,144,7,7.6,6
39,44,29.4,3,6591,208,5,6.7,5
40,33,30.5,0,9895,256,5,7.8,7
41,28,23.8,3,3525,161,2,6.9,1
42,45,20.3,6,9477,158,4,8.7,7
43,21,22.6,0,3001,229,6,4.9,3
44,39,25.8,1,3374,153,7,6.3,9
45,47,15.7,5,7648,49,5,5.4,6
46,26,30.6,0,5365,188,9,5.5,9
47,27,18.4,6,4525,203,3,5.5,5
48,54,28.4,6,4646,179,1,6.7,7
49,33,25.3,3,3013,130,4,6.7,4
50,36,27.1,4,7599,41,9,6.9,7
51,55,24.1,0,5278,157,4,5.4,1
52,59,26.9,5,6155,52,2,6.2,7
53,23,24.1,0,11321,220,5,5.5,8
54,21,23.8,2,6814,199,3,7.4,5
55,25,22.4,4,6216,134,9,5.6,2
56,23,32.1,5,11219,183,4,6.3,5
57,48,27.5,5,5113,71,6,7.1,6
58,37,26.8,1,7356,71,2,5.9,2
59,45,22.5,3,8543,163,6,7.2,6
60,53,25.1,1,7555,50,3,8.1,6
61,29,22.1,5,10062,49,9,6.7,1
62,55,24,4,6374,54,2,7.4,1
63,33,21.2,0,9430,56,9,4.4,3
64,50,32.4,0,6466,207,5,6.1,3
65,34,23,4,6081,185,8,6.7,4
66,27,22.5,5,3629,222,2,5.4,2
67,33,20.7,6,3269,240,6,6.7,9
68,42,22.9,0,8724,192,3,7.6,7
69,59,24,6,8897,98,5,4.6,7
70,40,25.8,0,6432,117,8,5.3,6
71,35,23.4,0,9276,163,1,6.7,3
72,37,19.6,3,8895,256,5,7,6
73,43,19.9,3,10115,153,3,7.2,8
74,45,28.7,2,9656,61,4,6.6,8
75,44,25.5,1,3575,197,2,7,9
76,48,28.6,4,10029,251,9,7.4,1
77,34,29.1,4,9099,252,3,6.1,1
78,20,26.6,4,6192,211,2,5.9,3
79,44,21.1,2,6178,71,9,6.3,3
80,26,26.8,3,9052,218,7,6.7,8
81,28,31.6,5,5734,213,6,5.8,1
82,43,24.2,6,9116,152,1,6.1,2
83,20,27.4,6,6568,159,5,6.9,2
84,27,25.9,5,5203,188,3,6.7,3
85,43,31.5,2,4390,161,1,6.3,6
86,30,23.3,5,4742,71,4,4.8,1
87,36,30.6,4,4925,158,2,6.5,2
88,27,24.5,1,3619,78,2,5.5,1
89,54,23.2,0,4274,51,3,7.5,5
90,54,26.4,6,3956,214,8,6.2,7
91,52,27.4,3,4939,57,8,5.5,8
92,24,33.6,3,6953,188,7,6.4,1
93,58,27.3,2,3968,180,6,7.8,7
94,47,26.8,3,3281,188,9,7.1,5
95,26,32.4,4,9262,165,4,6.7,1
96,28,28.4,6,4058,175,1,5.2,3
97,27,23.4,5,7293,85,8,8.1,7
98,31,31.4,4,8178,143,7,5.9,1
99,53,23,2,9980,174,7,7.4,7
100,52,23.4,4,4229,190,3,6.2,5
101,42,22.6,5,7585,242,4,7.3,1
102,43,22.3,1,11467,125,9,7.8,1
103,56,27.3,2,5740,189,6,7.1,1
104,54,25,1,5289,128,5,7.3,9
105,59,12.1,0,4239,61,3,6.4,3
106,41,24.9,1,8370,131,9,6.1,5
107,46,23.9,0,3125,68,5,6.6,9
108,54,29.6,0,10473,52,5,6.2,6
109,20,23.7,1,8342,249,4,9,9
110,54,36.2,2,10351,41,4,5.5,8
111,56,31.6,5,9638,68,1,7.5,8
112,33,24.4,4,9570,252,7,7,1
113,22,30.6,4,6249,246,9,6.7,9
114,20,28.1,5,10595,219,3,8,6
115,24,26.9,6,9294,66,2,6.8,9
116,45,29.2,6,9527,89,3,5.9,3
117,33,26.2,0,8757,134,1,6.8,3
118,58,27,0,4969,246,6,6.3,6
119,46,29.3,2,3891,190,7,7,9
120,28,34.2,3,7470,127,2,7.3,7
121,34,27,1,10175,83,8,5.6,3
122,34,24.2,0,11320,244,6,7.7,3
123,45,17.9,4,9812,61,4,6.2,2
124,32,33.8,2,10519,210,5,6.9,9
125,51,24.9,1,7612,204,8,7.1,3
126,58,28.1,2,4198,228,3,6.9,5
127,51,33.6,1,8238,136,3,6.4,9
128,23,26.9,1,9089,223,4,6,8
129,49,25.2,5,9257,42,1,6.2,2
130,56,31.7,0,10705,230,9,8.1,3
131,42,27.8,2,6719,157,8,5.6,2
132,58,28.3,2,3302,58,8,5.8,8
133,34,19.9,5,3986,62,6,5.7,6
134,48,30.8,4,7440,196,7,6.6,6
135,55,27.5,4,7909,69,6,5,9
136,32,20.5,6,6072,78,9,5.1,8
137,51,27.9,0,6124,147,3,6.2,4
138,26,17.7,0,11125,150,3,5.2,4
139,41,35.4,3,6291,64,3,5.3,9
140,47,21.6,5,7033,167,3,5.2,1
141,21,32.4,4,8105,150,9,5.7,2
142,25,22.7,1,3703,175,4,7.2,2
143,47,28.2,2,11133,145,7,7.5,6
144,47,22.4,0,3574,225,9,8.4,4
145,39,30,2,8704,183,7,8.4,3
146,49,25.1,2,10848,111,9,7.3,3
147,30,27.9,3,8208,168,3,7.5,3
148,47,26.1,4,9924,147,4,6.6,6
149,44,20.5,0,6828,44,8,7,8
150,58,28,2,6230,42,6,8.4,7
151,52,24,0,3488,232,5,6.9,4
152,20,30.2,1,10114,171,4,7.7,4
153,46,25.1,3,6173,143,8,5.6,2
154,32,25.7,1,4667,103,1,5.8,1
155,22,32.7,0,7114,145,9,6.8,9
156,58,35.5,6,6553,137,1,6.6,2
157,25,29.1,0,10761,256,8,5.9,8
158,27,24.9,4,4000,49,4,8.9,9
159,46,24.5,2,4388,188,9,6.7,4
160,28,22.7,2,8450,167,5,6.1,8
161,56,23.5,1,6712,85,3,6.7,9
162,52,24.9,3,4367,258,9,6.5,5
163,43,33.9,6,11189,194,9,6.7,7
164,34,25.2,5,3454,105,4,4.9,4
165,51,21.1,2,5772,208,4,7.8,1
166,51,26.2,4,6726,151,8,7.8,3
167,43,26.7,1,10232,52,2,8,5
168,31,26.1,1,7806,176,9,6.8,3
169,58,29.2,5,5190,203,6,7.2,7
170,21,26.3,4,5875,125,9,5.6,9
171,22,29.1,3,8592,129,8,7.3,6
172,56,22.9,4,4440,97,7,6.8,1
173,36,33.1,3,11927,93,1,6,7
174,21,27,4,9059,51,3,7.4,3
175,21,27.6,4,10010,248,2,7.4,5
176,47,22.9,0,10117,245,5,6.6,4
177,42,27.9,1,5989,53,5,6.9,5
178,56,28.6,4,9228,160,5,5.5,5
179,51,21.3,5,9471,201,4,7.7,6
180,52,19.4,4,5863,220,5,5.6,6
181,20,27.2,2,4177,160,3,5.8,8
182,38,24,1,7760,59,1,6.6,8
183,21,27,2,3011,114,5,7.6,9
184,45,20.8,1,8252,183,9,7.6,8
185,51,19.8,2,7399,109,9,6.5,2
186,25,26.8,4,11234,95,4,7.3,1
187,51,24.6,4,8445,250,3,4.8,2
188,23,17.6,0,9570,140,1,5.8,2
189,30,31.4,5,11212,225,2,5.8,3
190,36,20.8,2,3406,171,8,7.8,7
191,57,36.3,3,7431,150,1,7.2,2
192,43,23.5,0,8243,164,8,6.7,1
193,24,27.6,2,9542,171,7,6.8,6
194,53,32.6,2,9936,59,8,8.1,9
195,25,31.9,0,11906,177,6,6.3,3
196,41,33.9,4,7146,63,9,5.2,6
197,30,19.9,2,3140,193,3,7.6,3
198,35,21.5,4,7882,76,4,6.7,1
199,52,26.9,0,9012,252,6,7.5,5
200,28,29.4,4,3963,93,8,6.5,4
201,25,26,1,10151,142,5,5.7,7
202,35,19.4,3,11564,188,3,6.9,6
203,48,28,6,6610,241,6,6.5,7
204,22,25.2,2,9894,77,4,6.7,5
205,39,25.2,5,10311,213,9,8.1,4
206,55,16.9,3,3105,43,3,5.4,7
207,38,29.2,6,8539,227,4,6.8,7
208,45,26.6,4,9787,96,7,5.7,6
209,22,33.2,2,5137,212,7,3.9,8
210,38,25.7,4,7445,59,4,6.5,4
211,39,28.3,1,6530,56,6,6.5,5
212,51,29.3,0,4286,158,3,7.1,4
213,26,19,2,10052,110,6,6.3,1
214,52,36.5,6,6654,43,2,5,8
215,59,24.3,6,10102,53,8,5.7,1
216,58,28,1,5359,42,2,7.8,5
217,37,28.6,1,11105,255,7,5.7,6
218,59,22.7,2,11636,119,9,8.1,6
219,20,33.4,4,9441,225,1,7.5,5
220,30,27.1,5,8047,94,8,6.2,3
221,47,25.1,6,11227,171,7,5.8,5
222,44,26.6,6,8203,159,6,7.5,8
223,42,29.1,1,4798,63,6,6.3,2
224,50,26,3,8291,201,6,5,6
225,49,29.5,1,8495,197,9,7.1,9
226,54,19.3,5,9284,121,2,6.9,8
227,26,23,4,10285,186,1,7.6,8
228,35,17.4,4,4300,198,6,6.8,8
229,45,34,3,9869,227,8,6,7
230,21,33.9,6,6097,99,3,7.8,8
231,20,28.5,1,7616,186,1,7.9,6
232,31,21.9,4,3009,88,9,6.7,2
233,24,35.6,5,8752,102,1,6.6,2
234,56,23.6,2,9295,149,3,5.2,8
235,51,25.1,0,7815,250,8,5.9,1
236,28,26.6,0,4072,189,3,7.3,6
237,54,27.8,0,6225,191,4,5.9,6
238,38,28.6,6,4316,148,8,5,4
239,35,28.7,1,8699,115,1,10,3
240,22,25.4,3,9807,69,6,5,3
241,39,28.7,4,9674,97,1,8.8,1
242,43,25.2,2,6683,156,1,6.2,3
243,52,28.3,5,10227,198,8,6.4,4
244,43,28,2,6273,139,4,5.8,5
245,30,29.1,5,10000,231,1,7.3,3
246,27,28.6,6,3145,58,7,5.1,6
247,55,24.2,1,8010,215,5,4.7,5
248,57,27.8,0,6040,212,5,8.1,3
249,59,28.6,1,3482,133,1,5.7,6
250,39,20.8,6,6179,222,6,7.2,6
251,54,24.9,3,4249,152,9,5.4,8
252,44,28.4,3,3630,222,9,7.2,2
253,54,32.8,6,11853,185,8,8.2,1
254,44,29.3,5,5852,102,5,6,4
255,48,33.1,4,3987,155,1,4.6,7
256,37,24.4,4,10622,152,9,8.2,3
257,37,27,5,10327,259,1,7.4,3
258,21,29.2,3,11841,86,8,6,5
259,54,16.7,3,4100,242,5,6.3,5
260,35,32,3,9652,96,3,5.4,3
261,55,18.6,1,11632,157,7,7.9,9
262,52,30,3,10421,84,7,6,4
263,23,28.7,2,8016,200,9,5.1,3
264,52,16.6,0,3769,184,7,6.7,2
265,33,16.8,3,4343,237,3,5.6,9
266,40,31.7,5,7358,43,1,5.5,4
267,39,30.9,0,9780,187,8,6.1,3
268,27,22.5,1,9602,86,3,6.6,7
269,26,22.5,5,5349,258,8,5.1,8
270,22,28.1,0,8699,182,8,7.9,2
271,36,25.9,5,4241,237,5,7.2,7
272,52,30.2,1,4125,86,1,6.1,5
273,31,27.9,2,9764,117,7,5.6,5
274,41,32.3,1,8101,163,5,6.4,3
275,41,29.9,1,10843,114,8,7.4,5
276,49,28.9,5,3072,142,9,7.2,2
277,57,24.6,6,8472,176,7,7.6,4
278,57,24.3,4,8189,129,7,6,6
279,27,25.8,3,5472,183,1,3.6,1
280,46,33.4,3,3707,108,4,7.7,4
281,46,24.4,2,4804,100,2,6.3,6
282,53,27,2,9704,177,2,7.2,9
283,40,17,3,6713,89,2,8.2,2
284,49,28.7,4,8051,42,4,8.9,7
285,52,35,3,5475,244,1,5.9,6
286,47,22.3,6,6610,146,4,6.6,2
287,52,38.7,4,7255,152,2,7.9,8
288,24,26.7,2,10397,133,5,5.7,7
289,38,15.7,0,4735,157,3,5.9,5
290,23,24.5,5,11258,237,8,5.9,5
291,54,31.3,6,10979,120,4,6.5,7
292,36,34,6,5428,148,1,6.3,9
293,47,28.9,2,10426,90,1,5.9,9
294,49,32.3,2,11533,186,3,5.5,9
295,48,21.3,1,8249,209,9,7.3,6
296,25,23.3,6,8291,74,7,7.8,6
297,54,19.3,1,5817,85,2,8,3
298,56,23.6,1,6874,193,9,6,1
299,43,29,5,7211,108,2,7.4,7
300,48,26.9,1,3661,132,3,6.7,4
301,50,29.5,4,6374,103,2,5.9,1
302,54,22.3,3,3207,204,3,7.2,8
303,52,22.5,0,5665,251,6,5.9,6
304,40,26.8,2,5493,88,9,6.1,6
305,51,23.6,4,9813,188,9,5.1,2
306,42,31.2,0,3632,113,7,6,1
307,52,23.5,6,6083,231,3,6.8,2
308,22,24,6,6719,44,4,8.1,4
309,37,27.7,6,10123,139,6,6.1,2
310,44,24.4,4,4679,109,5,5.5,1
311,50,21.1,4,3236,129,2,8,7
312,22,21.6,2,10446,43,6,6,8
313,59,28.2,3,7443,165,3,4.8,6
314,43,20.6,1,9770,78,8,6.6,4
315,51,31.6,6,9099,202,2,6.2,6
316,41,23.2,5,11555,168,1,8.8,3
317,42,28.5,3,5368,63,9,7,8
318,21,23.5,5,3285,96,3,6.4,2
319,46,22.3,2,3148,139,1,5.6,5
320,21,27,2,7037,109,7,6.8,1
321,45,30.2,2,9549,80,5,8,6
322,36,25,0,10121,221,5,6.8,2
323,59,25.7,5,7895,213,1,5.7,4
324,52,29.2,3,8280,99,9,7,6
325,28,29.4,3,4012,147,7,6.5,8
326,58,25.8,4,5785,227,8,6.9,8
327,48,24.2,4,6725,96,9,6.1,6
328,45,26.3,6,7576,70,6,6.1,4
329,54,25.2,4,8782,123,5,6.1,8
330,44,27.3,2,9257,191,6,7.4,8
331,43,21.2,3,5408,256,2,6.1,1
332,32,27.1,5,3340,75,4,6,4
333,26,23.1,2,5817,252,3,5.6,4
334,55,29.6,0,5496,197,7,7,7
335,39,23.3,4,8962,191,9,6.8,7
336,20,23.4,2,8299,147,5,6.1,8
337,27,27.8,2,10574,145,6,5.8,5
338,35,26.1,0,4689,197,2,8.4,7
339,33,35.1,1,6267,125,3,4.6,8
340,31,19.5,3,7406,259,3,7,9
341,42,26.4,5,11453,174,9,7.8,3
342,34,30.5,6,4442,202,7,3.1,3
343,47,23.7,1,11597,222,8,7.3,4
344,53,22.4,4,7437,259,9,6.3,5
345,21,22.5,2,8435,53,6,6.8,1
346,51,19.6,0,11435,159,4,6.2,7
347,42,31.4,0,7107,177,1,7.6,9
348,41,24.7,3,3560,119,8,6.9,8
349,44,24.2,1,11785,183,7,6.6,5
350,41,17.5,6,8548,221,2,5.6,4
351,41,20.3,3,4826,145,8,8.4,7
352,25,31.9,2,10629,256,5,6.5,5
353,34,27.2,3,11325,244,7,8.8,7
354,56,30.7,5,6138,109,4,8.4,1
355,52,30.2,0,10693,83,5,4.7,1
356,27,22,0,11264,112,8,5.8,3
357,24,35.7,4,10842,84,1,5.5,2
358,58,33.8,4,9721,223,1,6.5,2
359,23,23.7,6,10002,146,4,6.7,7
360,25,11.7,2,7225,123,3,6.7,2
361,51,24.6,5,5978,121,2,7.6,4
362,49,27,1,10373,146,3,8,2
363,54,23.7,3,8907,224,1,7.5,6
364,59,25.1,6,9097,60,1,5.9,8
365,35,22.7,2,8656,235,6,5.7,4
366,32,29.7,4,11984,217,5,6.5,5
367,49,26.3,3,7259,200,8,6.9,4
368,38,29.8,4,11286,258,2,6.3,3
369,36,30.9,3,8901,46,4,5.2,5
370,38,17.3,1,7917,109,8,7.2,9
371,47,22.9,2,11429,166,6,6.1,8
372,45,23.5,3,5530,182,1,6.1,8
373,56,36.3,5,4960,249,4,6.4,8
374,45,26.6,6,10045,199,1,6.3,8
375,42,29.3,0,4048,242,2,6.1,7
376,28,18.5,5,8772,187,5,5.2,8
377,31,26.6,5,5529,255,8,6.4,8
378,20,29.9,6,5964,182,8,7.2,8
379,20,29.4,0,10137,215,3,6.8,7
380,53,28.5,5,3963,238,4,7.4,1
381,51,26.1,3,3536,188,6,5.8,4
382,44,26.2,3,10340,209,3,5.2,4
383,59,19.2,3,10179,193,2,6.3,5
384,20,22.4,0,10967,159,6,5.9,6
385,35,26.9,5,11734,167,5,6,4
386,58,23.1,0,3845,181,5,6.7,2
387,24,28.8,3,8777,96,5,6,6
388,41,27.9,6,6036,204,5,5.2,8
389,48,31.5,5,8947,97,3,5.9,8
390,22,29.8,5,5494,60,7,6.8,7
391,31,26.9,4,5719,121,6,7.2,6
392,45,29,4,4884,108,4,7.2,2
393,35,30,1,7349,170,2,6.9,7
394,56,24,2,8179,126,9,6.3,5
395,41,24.7,4,9610,257,1,6.9,6
396,48,25.6,0,9430,204,4,6.5,8
397,33,24.1,4,10154,255,1,6.6,8
398,47,30.1,1,9488,88,6,5.6,3
399,24,23.5,5,7737,186,4,6.5,7
400,49,31,1,9525,154,5,6.9,1
401,24,24.5,5,6850,128,5,6.8,1
402,31,27.9,6,3689,124,9,5.2,7
403,35,26.7,6,8175,167,1,6.6,9
404,45,22.1,5,11648,179,2,5.1,7
405,45,25.9,2,8078,228,6,6.7,5
406,40,27.3,4,8448,208,5,5.8,8
407,58,25.7,0,4179,200,7,8.2,2
408,55,20.6,0,9406,217,3,6.6,9
409,52,32.8,3,11591,156,3,7.3,6
410,49,26.4,5,9907,235,2,8.6,9
411,56,22.8,0,11800,166,3,5.7,2
412,42,32.5,2,4638,110,1,6.9,3
413,29,28.5,5,8671,125,5,5.3,8
414,24,21.2,2,9928,72,5,6.8,1
415,55,21.8,0,4382,120,7,8.3,7
416,53,25.1,0,4403,191,4,5.9,7
417,50,27.2,3,6292,100,3,5.6,1
418,29,28.5,0,3419,100,1,6.4,9
419,38,29.8,5,7517,137,8,8.5,8
420,51,28.2,6,6302,67,3,7.3,4
421,20,31.4,5,10857,225,2,5.6,5
422,24,26.5,5,10870,82,4,8,2
423,23,23,3,8693,208,3,4.8,9
424,35,26,3,3767,206,1,8.6,6
425,43,25.7,0,5044,125,3,7.4,3
426,35,15.7,1,4549,216,2,8.3,7
427,21,23.8,1,9140,56,8,4.9,9
428,47,27.3,3,6716,137,6,6.7,3
429,51,24.3,0,7481,237,9,6.4,2
430,46,23.4,1,10898,237,8,5.5,7
431,39,29.6,0,9548,137,3,5.2,7
432,43,22.3,0,5293,104,5,7,4
433,31,28.8,0,7837,113,7,7.1,9
434,54,20.7,4,10758,124,5,7.8,8
435,52,37,5,9793,44,8,6,1
436,52,25.1,0,10638,41,5,6.4,1
437,56,24.7,4,10993,61,1,5.1,5
438,31,30.6,3,9007,151,5,8,6
439,22,24.3,1,8542,96,4,6.6,3
440,20,31.8,5,9356,105,6,7.2,9
441,52,27.5,6,11433,113,3,7.3,6
442,59,25.5,1,10380,137,5,8,4
443,29,25.1,5,5385,183,2,5.7,7
444,48,30.8,6,7268,151,6,7.2,8
445,32,26.9,1,3671,218,6,6.5,9
446,31,27.7,5,3163,164,5,8.6,6
447,50,28.2,1,11656,206,6,5.7,6
448,21,26.5,1,7592,125,7,7.7,8
449,54,28.1,6,7795,115,5,6.9,5
450,42,25.5,1,7798,127,1,6.8,3
451,36,25.8,1,9036,207,8,6.6,3
452,45,21.5,6,5355,77,4,7.8,6
453,27,27.2,3,8887,227,9,6.8,2
454,48,19.1,0,10961,98,6,5,6
455,45,27.1,2,8827,177,1,7.7,6
456,29,24.9,4,11737,138,3,7.5,8
457,45,27.5,2,7719,231,3,7.1,7
458,53,21.8,2,3593,102,4,5.4,8
459,26,17.5,5,7839,88,6,5.5,9
460,23,24.6,0,10394,231,7,4.6,6
461,30,21.8,5,6493,71,4,7,3
462,48,18.9,0,9164,174,6,5.2,3
463,55,29.1,6,5672,60,1,4.8,1
464,44,32.4,6,7200,59,8,7.8,5
465,40,22.8,0,3016,193,7,7.3,4
466,55,25.7,1,6191,166,9,6.2,9
467,29,24.8,3,3392,107,3,6.4,9
468,56,23.4,1,11616,149,2,4.1,5
469,28,28.7,3,9272,155,1,7.4,4
470,43,30,5,3571,253,3,5.8,7
471,54,22.5,3,6631,182,5,6.8,6
472,54,26.2,5,9172,159,2,4,4
473,55,31.1,6,10177,252,3,7.5,2
474,37,28.8,2,11433,118,4,5.7,1
475,58,29.4,6,6897,253,7,5.1,4
476,51,31.5,6,11123,155,3,6.2,4
477,43,31.4,2,5279,131,9,5.9,1
478,42,30.1,3,11980,53,8,7.6,6
479,51,26.6,3,10451,194,4,6.1,4
480,56,24.5,5,11906,164,1,7.9,1
481,31,26.4,1,3775,207,1,6.8,1
482,32,23.9,5,9869,97,1,7.4,1
483,42,18.2,1,5247,67,1,6.5,8
484,44,24.9,6,10088,65,8,7.8,8
485,54,27.4,2,3078,152,3,5.3,2
486,49,23.7,6,11080,230,6,6.6,7
487,36,25.2,0,10099,105,3,6.1,8
488,39,25.4,3,6926,192,5,7.9,8
489,44,31.4,1,10340,170,7,8,7
490,41,24.6,5,10083,239,2,6.5,5
491,32,31.4,2,9230,83,6,5.2,1
492,38,15.2,1,7940,136,6,6.9,9
493,55,31.4,5,6271,81,3,4.8,7
494,31,31.2,3,6456,45,6,8.1,2
495,38,29.6,6,10788,206,5,6,6
496,31,18,3,11599,219,2,6.5,2
497,28,30.1,4,10650,62,9,5.8,1
498,26,25.8,0,5711,128,8,5.6,7
499,47,15.9,4,4668,162,3,7.2,2
500,33,31.2,2,3147,217,8,6.3,2
